"count","url_host_registered_domain"
"402","choydofa.com"
"402","deshbd24.com"
"399","rajshahinews24.com"
"398","uttorbangla.com"
"398","protidinerbangladesh.com"
"398","theeditor365.com"
"397","dainiksomoysangbad24.com"
"395","voboghurekotha.com"
"393","utpalshuvro.com"
"393","rangpurerkhabar.com"
"393","ekattorlive.com"
"393","banglarkonthosor.com"
"390","ourislam24.com"
"388","bdcnews71.com"
"388","sylhetsangbad.com"
"387","dailyswadhinbangla.com"
"387","dorponnews24.com"
"387","sunamganj.gov.bd"
"387","sangbadbd247.com"
"386","aponhut.com"
"386","photosdematures.com"
"385","dainikishan.com"
"384","bdposts.com"
"384","dailychalarpathe.com"
"384","desherpotrika.com"
"383","sastherkotha.com"
"382","pabna.gov.bd"
"381","bangladeshmoments.com"
"381","protighonta.com"
"381","news2narayanganj.com"
"381","dailyhaquekotha.com"
"380","nobokontho24.com"
"380","silkcitynews.com"
"379","digonterbarta24.com"
"379","deshbangla.net"
"379","cpbbd.org"
"378","thakurgaon.gov.bd"
"378","uttareralo24.com"
"377","notunbazar71.com"
"376","handiyalnews24.com"
"376","sree-bd.com"
"376","krishokerjanala.gov.bd"
"375","golpokobita.com"
"374","chattabani.com"
"374","dailybhorerdak.com"
"372","teachers.gov.bd"
"370","karatoa.com.bd"
"370","ehalal.io"
"369","yamunakinare.org"
"369","narsingdirkanthosor.com"
"368","swnews24.com"
"368","narsingdipratidin.com"
"367","cumillasdnews24.com"
"366","cholojaai.net"
"365","badwipbangladesh.com"
"365","anusandhan24.com"
"364","sylhettimesbd.com"
"364","barisaldiv.gov.bd"
"363","adalatbarta.com"
"362","andnews24.com"
"360","sharebarta24.com"
"360","sokalersongbad.com"
"359","sylhetkantha.com"
"358","crimereport-24.com"
"358","bzamin24.com"
"358","lobbyistdlive.online"
"358","aulapro.co"
"358","amadertangail24.com"
"357","dailyvorerkhabor.com"
"357","samprotik.com.bd"
"356","wikivoyage.org"
"356","adpratidin.com"
"354","coxsbazarnewsagency.com"
"354","crimeseen24.com"
"353","ajkercrimenews.com"
"353","unb.com.bd"
"353","htbanglatv.com"
"352","banglapustak.com"
